date,time,temperature,humidity
09/11/21,04:00:20,55.0,92.7
09/11/21,05:00:28,55.4,92.8
09/11/21,06:00:19,55.0,93.3
09/11/21,07:00:29,55.2,93.1
09/11/21,08:00:19,56.8,92.1
09/11/21,09:00:22,59.2,89.0
09/11/21,10:00:27,67.3,69.5
09/11/21,11:00:30,71.8,55.6
09/11/21,12:00:27,70.5,50.3
09/11/21,13:00:20,74.1,42.3
09/11/21,14:00:25,77.7,33.8
09/11/21,15:00:25,80.8,30.8
09/11/21,16:00:17,80.6,36.1
09/11/21,17:00:18,79.5,35.8
09/11/21,18:00:20,79.5,37.3
09/11/21,19:00:17,78.1,40.6
09/11/21,20:00:26,74.8,47.7
09/11/21,21:00:17,72.5,55.9
09/11/21,22:00:32,70.0,55.1
09/11/21,23:00:21,67.6,60.9
09/12/21,00:00:48,65.1,69.1
09/12/21,01:00:20,63.5,75.3
09/12/21,02:00:25,62.2,81.0
09/12/21,03:00:17,61.0,84.7
09/12/21,04:00:23,60.6,86.1
09/12/21,05:00:20,60.1,88.5
09/12/21,06:00:24,59.5,89.6
09/12/21,07:00:22,58.8,91.0
09/12/21,08:00:19,60.3,90.3
09/12/21,09:00:25,63.7,85.1
09/12/21,10:00:22,67.5,80.4
09/12/21,11:00:17,69.1,77.0
09/12/21,12:00:20,70.2,77.0
09/12/21,13:00:32,73.8,70.1
09/12/21,14:00:20,73.0,70.0
09/12/21,15:00:40,73.8,67.7
09/12/21,16:00:30,74.8,62.5
09/12/21,17:00:33,77.0,57.0
09/12/21,18:00:25,73.8,53.1
09/12/21,19:00:17,70.0,55.5
09/12/21,20:00:23,67.6,55.5
09/12/21,21:00:22,64.2,61.7
09/12/21,22:00:19,62.8,66.7
09/12/21,23:00:17,61.9,70.2
09/13/21,00:00:38,61.3,72.5
09/13/21,01:00:24,59.7,77.0
09/13/21,02:00:24,57.7,81.7
09/13/21,03:00:22,57.9,81.7
09/13/21,04:00:18,55.6,85.3
09/13/21,05:00:26,54.5,85.5
09/13/21,06:00:17,52.3,89.5
09/13/21,07:00:17,50.9,90.8
09/13/21,08:00:30,51.8,89.6
09/13/21,09:00:22,55.4,86.1
09/13/21,10:00:47,69.4,60.4
09/13/21,11:00:22,68.9,53.8
09/13/21,12:00:20,67.1,56.6
09/13/21,13:00:20,69.4,51.8
09/13/21,14:00:17,72.7,46.3
